user_id,session_id,session_time
565022209,a7c5906e-5dd8-4175-aeca-eb5615844e67,21h 46m 17s
568848552,f2d487ec-1a93-47cd-916a-5e46db85472c,21h 18m 29s
546179105,c28e0611-7590-49cb-9c19-1d4f6540592a,21h 4m 7s
557268031,a7b1bde2-4493-4c4b-9517-8b8a0a9cf494,20h 36m 33s
554760857,c5fc6a55-1735-4636-8490-b6dfd060164c,20h 12m 13s
543658395,8c85d761-88c9-45f6-b844-4e506c58f9b3,19h 56m 9s
532969916,1ffae9b4-50e0-4d76-b354-6df7b8d19445,19h 27m 38s
544784642,cfd07110-7047-4ac5-bb17-a4cbd05a491b,18h 32m 19s
561409785,a7db81e5-7d03-404b-806b-063148c86e1b,18h 15m 43s
524688046,0193ea4b-88eb-40ad-bae9-2b00ecd1481f,18h 12m 19s
